CODE;MATSTA;STAGE;ENGBLK;ENGREL;MRPCTRL;SMAD;SMADPER;PMAD;PMADPER;CUSTCLASS;LAG;FWSHIP;VS;COALESCE(D.YOURREF,'')
913787/3301;P1P1P1;Engineering;ENGR;;C28. Machining;;;;;Public;6;ENG;Nuclear;NUC
913787/3310;P1P1P1;Engineering;ENGR;;SUP. Superstrangers;;;;;Public;6;ENG;Nuclear;NUC
913787/3320;P1P1P1;Engineering;ENGR;;SUP. Superstrangers;;;;;Public;6;ENG;Nuclear;NUC
913787/3330;P1P1P1;Engineering;ENGR;;SUP. Superstrangers;;;;;Public;6;ENG;Nuclear;NUC
913787/3340;P1P1P1;Engineering;ENGR;;SUP. Superstrangers;;;;;Public;6;ENG;Nuclear;NUC
913787/4000;P1P1P1;Engineering;;2025-05-27;C11. Hubert, Jean-Charles;2026-02-09;;2026-04-13;;Public;6;ENG;Nuclear;NUC
913787/4100;P1P1P1;Production Ordered;;2024-07-31;C92. Daligault, Gildas;2026-01-22;;2026-03-23;;Public;6;OUT Q1 2026;Nuclear;NUC
913787/5000;P1P1P1;Engineering;;2025-05-27;C11. Hubert, Jean-Charles;2026-02-09;;2026-04-13;;Public;6;ENG;Nuclear;NUC
913787/5100;P1P1P1;Production Ordered;;2024-07-31;C92. Daligault, Gildas;2026-02-06;;2026-04-07;;Public;6;OUT Q1 2026;Nuclear;NUC
913787/6000;P1P1P1;Engineering;;2025-05-27;C11. Hubert, Jean-Charles;2026-04-13;;2026-06-15;;Public;6;ENG;Nuclear;NUC
913787/6100;P1P1P1;Production Ordered;;2024-07-31;C92. Daligault, Gildas;2025-11-28;;2025-12-26;;Public;6;26W05;Nuclear;NUC
913787/7000;P1P1P1;Shipping;;2024-12-09;C11. Hubert, Jean-Charles;2025-11-26;;2026-01-26;;Public;6;26W10;Nuclear;NUC
913787/8000;P1P1P1;Engineering;;2025-04-23;C11. Hubert, Jean-Charles;2026-03-20;;2026-05-20;;Public;6;ENG;Nuclear;NUC
913787/8100;P1P1P1;Production Ordered;;2024-07-31;C92. Daligault, Gildas;2026-02-19;;2026-04-20;;Public;6;OUT Q1 2026;Nuclear;NUC
913787/9000;P1P1P1;Engineering;;2025-04-23;C11. Hubert, Jean-Charles;2026-02-19;;2026-04-20;;Public;6;ENG;Nuclear;NUC
913787/9100;P1P1P1;Production Ordered;;2024-07-31;C92. Daligault, Gildas;2026-07-31;;2026-09-30;;Public;6;OUT Q1 2026;Nuclear;NUC
913787/10000;P1P1P1;Engineering;EOUT;;C11. Hubert, Jean-Charles;2026-07-31;;2026-09-30;;Public;6;ENG;Nuclear;NUC
913787/10100;P1P1P1;Production Released;;2024-07-31;C92. Daligault, Gildas;2025-11-25;;2026-01-26;;Public;6;26W10;Nuclear;NUC
913787/11000;P1P1P1;Engineering;;2025-04-23;C11. Hubert, Jean-Charles;2026-02-03;;2026-04-03;;Public;6;ENG;Nuclear;NUC
913787/11100;P1P1P1;Production Planned;;2024-07-31;C92. Daligault, Gildas;2026-01-23;;2026-03-23;;Public;6;OUT Q1 2026;Nuclear;NUC
913787/12000;P1P1P1;Engineering;;2025-06-18;C11. Hubert, Jean-Charles;2026-05-20;;2026-07-20;;Public;6;ENG;Nuclear;NUC
913787/12100;P1P1P1;Production Ordered;;2024-07-31;C92. Daligault, Gildas;2026-02-20;;2026-04-20;;Public;6;OUT Q1 2026;Nuclear;NUC
913787/12300;P1P1P1;Engineering;ENGR;;C28. Machining;;;;;Public;6;ENG;Nuclear;NUC
913787/12310;P1P1P1;Engineering;ENGR;;SUP. Superstrangers;;;;;Public;6;ENG;Nuclear;NUC
913787/12320;P1P1P1;Engineering;ENGR;;SUP. Superstrangers;;;;;Public;6;ENG;Nuclear;NUC
913787/12330;P1P1P1;Engineering;ENGR;;SUP. Superstrangers;;;;;Public;6;ENG;Nuclear;NUC
913787/12340;P1P1P1;Engineering;ENGR;;SUP. Superstrangers;;;;;Public;6;ENG;Nuclear;NUC
913787/12500;P1P1ZZ;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913787/13000;P1P1P1;Engineering;;2025-04-10;C11. Hubert, Jean-Charles;2026-05-21;;2026-07-21;;Public;6;ENG;Nuclear;NUC
913787/13100;P1P1P1;Production Ordered;;2024-07-31;C92. Daligault, Gildas;2026-06-11;;2026-08-17;;Public;6;OUT Q1 2026;Nuclear;NUC
913787/13300;P1P1P1;Engineering;ENGR;;C28. Machining;;;;;Public;6;ENG;Nuclear;NUC
913787/13310;P1P1P1;Engineering;ENGR;;SUP. Superstrangers;;;;;Public;6;ENG;Nuclear;NUC
913787/13320;P1P1P1;Engineering;ENGR;;SUP. Superstrangers;;;;;Public;6;ENG;Nuclear;NUC
913787/13330;P1P1P1;Engineering;ENGR;;SUP. Superstrangers;;;;;Public;6;ENG;Nuclear;NUC
913787/13340;P1P1P1;Engineering;ENGR;;SUP. Superstrangers;;;;;Public;6;ENG;Nuclear;NUC
913787/13500;P1P1ZZ;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913787/14000;P1P1SP;Booking;EOUT;;C11. Hubert, Jean-Charles;2026-06-11;;2026-08-17;;Public;6;ENG;Nuclear;NUC
913787/14300;P1P1P1;Booking;ENGR;;SUP. Superstrangers;2026-06-11;;2026-08-17;;Public;6;ENG;Nuclear;NUC
913787/14400;P1P1SP;Booking;ENGR;;C09. Machining;;;;;Public;6;ENG;Nuclear;NUC
913787/15000;P1P1SP;Booking;EOUT;;C11. Hubert, Jean-Charles;2026-06-11;;2026-08-17;;Public;6;ENG;Nuclear;NUC
913787/15300;P1P1P1;Booking;ENGR;;SUP. Superstrangers;;;;;Public;6;ENG;Nuclear;NUC
913787/15400;P1P1SP;Booking;ENGR;;C09. Machining;;;;;Public;6;ENG;Nuclear;NUC
913787/16000;P1P1SP;Booking;EOUT;;C11. Hubert, Jean-Charles;2026-06-11;;2026-08-17;;Public;6;ENG;Nuclear;NUC
913787/16300;P1P1P1;Booking;ENGR;;SUP. Superstrangers;;;;;Public;6;ENG;Nuclear;NUC
913787/16400;P1P1SP;Booking;ENGR;;C09. Machining;;;;;Public;6;ENG;Nuclear;NUC
913787/17000;P1P1SP;Booking;EOUT;;C11. Hubert, Jean-Charles;2026-06-11;;2026-08-17;;Public;6;ENG;Nuclear;NUC
913787/17300;P1P1P1;Booking;ENGR;;SUP. Superstrangers;;;;;Public;6;ENG;Nuclear;NUC
913787/17400;P1P1SP;Booking;ENGR;;C09. Machining;;;;;Public;6;ENG;Nuclear;NUC
913787/18000;P1P1SP;Booking;EOUT;;C11. Hubert, Jean-Charles;2026-06-11;;2026-08-17;;Public;6;ENG;Nuclear;NUC
913787/18300;P1P1P1;Booking;ENGR;;SUP. Superstrangers;;;;;Public;6;ENG;Nuclear;NUC
913787/18400;P1P1SP;Booking;ENGR;;C09. Machining;;;;;Public;6;ENG;Nuclear;NUC
913787/19000;P1P1SP;Booking;EOUT;;C11. Hubert, Jean-Charles;2026-06-11;;2026-08-17;;Public;6;ENG;Nuclear;NUC
913787/19300;P1P1P1;Booking;ENGR;;SUP. Superstrangers;;;;;Public;6;ENG;Nuclear;NUC
913787/19400;P1P1SP;Booking;ENGR;;C09. Machining;;;;;Public;6;ENG;Nuclear;NUC
913787/23000;P1P1P1;Engineering;EOUT;;SUP. Superstrangers;2026-01-08;;2026-03-05;;Public;6;ENG;Nuclear;NUC
913787/24000;P1P1SP;Engineering;EOUT;;C11. Hubert, Jean-Charles;2026-06-26;;2026-08-26;;Public;6;ENG;Nuclear;NUC
913787/24500;P1P1ZZ;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913787/25000;P1P1P1;Charges;;;SUP. Superstrangers;;;;;Public;6;CHARGES;Nuclear;NUC
913787/32000;P1P1P1;Available in Stock;;2024-10-29;SUP. Superstrangers;2025-11-28;;2026-01-30;;Public;6;26W10;Nuclear;NUC
913787/32010;P1P1P1;Purchase Requisition;;2024-10-29;SUP. Superstrangers;2025-11-28;;2026-01-30;;Public;6;26W10;Nuclear;NUC
913787/32020;P1P1P1;Purchase Ordered;;2024-10-29;SUP. Superstrangers;2025-11-28;;2026-01-30;;Public;6;26W10;Nuclear;NUC
913787/32030;P1P1P1;Purchase Requisition;;2024-11-08;SUP. Superstrangers;2025-11-28;;2026-01-30;;Public;6;26W10;Nuclear;NUC
913787/32040;P1P1P1;Purchase Requisition;;2024-11-08;SUP. Superstrangers;2025-11-28;;2026-01-30;;Public;6;26W10;Nuclear;NUC
913787/33000;P1P1P1;Engineering;;;SUP. Superstrangers;;;;;Public;6;ENG;Nuclear;NUC
913787/33010;P1P1P1;Engineering;;;SUP. Superstrangers;;;;;Public;6;ENG;Nuclear;NUC
913787/33020;P1P1P1;Purchase Requisition;;2025-09-09;SUP. Superstrangers;;;;;Public;6;TO BE ANALYSED;Nuclear;NUC
913787/34000;P1P1ZZ;Engineering;ENGR;;C08. Machining;2025-12-23;;2026-01-30;;Public;6;ENG;Nuclear;NUC
913787/35000;P1P1ZZ;Engineering;ENGR;;C08. Machining;2025-12-23;;2026-01-30;;Public;6;ENG;Nuclear;NUC
913787/36000;P1P1ZZ;Engineering;ENGR;;C08. Machining;2025-12-23;;2026-01-30;;Public;6;ENG;Nuclear;NUC
913787/37000;P1P1P1;Purchase Requisition;;2025-08-28;SUP. Superstrangers;;;;;Public;6;TO BE ANALYSED;Nuclear;NUC
913787/38000;P1P1P1;Purchase Requisition;;2025-08-28;SUP. Superstrangers;;;;;Public;6;TO BE ANALYSED;Nuclear;NUC
913789/1000;P1P1SP;Engineering;;2025-04-23;C11. Hubert, Jean-Charles;2026-05-28;;2026-07-28;;Public;6;ENG;Nuclear;NUC
913789/1100;P1P1P1;Production Ordered;;2024-07-31;C92. Daligault, Gildas;2026-05-28;;2026-07-28;;Public;6;OUT Q1 2026;Nuclear;NUC
913789/2000;P1P1SP;Engineering;;2025-04-23;C11. Hubert, Jean-Charles;2026-05-28;;2026-07-28;;Public;6;ENG;Nuclear;NUC
913789/2100;P1P1P1;Production Ordered;;2024-07-31;C92. Daligault, Gildas;2026-05-28;;2026-07-28;;Public;6;OUT Q1 2026;Nuclear;NUC
913800/1000;P1P1P1;Shipping;;2024-12-09;C11. Hubert, Jean-Charles;2025-12-19;;2026-02-19;;Public;6;26W10;Nuclear;NUC
913800/2000;P1P1P1;Engineering;;2025-04-23;C11. Hubert, Jean-Charles;2026-05-05;;2026-07-06;;Public;6;ENG;Nuclear;NUC
913800/2300;P1P1P1;Engineering;ENGR;;C28. Machining;;;;;Public;6;ENG;Nuclear;NUC
913800/2301;P1P1P1;Engineering;ENGR;;C28. Machining;;;;;Public;6;ENG;Nuclear;NUC
913800/2310;P1P1P1;Engineering;ENGR;;SUP. Superstrangers;;;;;Public;6;ENG;Nuclear;NUC
913800/2320;P1P1P1;Engineering;ENGR;;SUP. Superstrangers;;;;;Public;6;ENG;Nuclear;NUC
913800/2330;P1P1P1;Engineering;ENGR;;SUP. Superstrangers;;;;;Public;6;ENG;Nuclear;NUC
913800/2340;P1P1P1;Engineering;ENGR;;SUP. Superstrangers;;;;;Public;6;ENG;Nuclear;NUC
913800/3000;P1P1SP;Purchase in Transit;;2025-12-12;C11. Hubert, Jean-Charles;2026-02-16;;2026-04-27;;Public;6;OUT Q1 2026;Nuclear;NUC
913800/4000;P1P1SP;Purchase Ordered;;2025-12-12;C11. Hubert, Jean-Charles;2026-06-12;;2026-08-12;;Public;6;OUT Q1 2026;Nuclear;NUC
913800/5000;P1P1SP;Purchase Ordered;;2025-12-12;C11. Hubert, Jean-Charles;2026-11-12;;2027-01-12;;Public;6;OUT Q1 2026;Nuclear;NUC
913800/6000;P1P1SP;Purchase Ordered;;2025-12-12;C11. Hubert, Jean-Charles;2026-05-21;;2026-07-21;;Public;6;OUT Q1 2026;Nuclear;NUC
913800/7000;P1P1SP;Production Planned;;2025-12-12;C11. Hubert, Jean-Charles;2026-03-24;;2026-05-26;;Public;6;OUT Q1 2026;Nuclear;NUC
913800/8000;P1P1SP;Production Planned;;2025-12-12;C11. Hubert, Jean-Charles;2026-03-24;;2026-05-26;;Public;6;OUT Q1 2026;Nuclear;NUC
913800/9010;P1P1P1;Production Ordered;;2025-06-11;C92. Daligault, Gildas;2026-01-12;;2026-03-02;;Public;6;OUT Q1 2026;Nuclear;NUC
913800/10010;P1P1P1;Production Ordered;;2025-06-11;C92. Daligault, Gildas;2026-01-12;;2026-03-02;;Public;6;OUT Q1 2026;Nuclear;NUC
913800/11010;P1P1P1;Production Ordered;;2025-06-11;C92. Daligault, Gildas;2026-01-12;;2026-03-02;;Public;6;OUT Q1 2026;Nuclear;NUC
913800/12010;P1P1P1;Production Ordered;;2025-06-11;C92. Daligault, Gildas;2026-01-12;;2026-03-02;;Public;6;OUT Q1 2026;Nuclear;NUC
913806/1000;P1P1P1;Engineering;;2025-04-23;C11. Hubert, Jean-Charles;2026-09-18;;2026-11-18;;Public;6;ENG;Nuclear;NUC
913806/1100;P1P1P1;Production Ordered;;2024-07-31;C92. Daligault, Gildas;2026-09-18;;2026-11-18;;Public;6;OUT Q1 2026;Nuclear;NUC
913806/2000;P1P1P1;Engineering;;2025-04-23;C11. Hubert, Jean-Charles;2026-10-26;;2026-12-28;;Public;6;ENG;Nuclear;NUC
913806/2100;P1P1P1;Production Planned;;2024-07-31;C92. Daligault, Gildas;2026-10-26;;2026-12-28;;Public;6;OUT Q1 2026;Nuclear;NUC
913806/3000;P1P1P1;Engineering;;2025-04-23;C11. Hubert, Jean-Charles;2026-04-28;;2026-06-29;;Public;6;ENG;Nuclear;NUC
913806/3100;P1P1P1;Production Planned;;2024-07-31;C92. Daligault, Gildas;2026-04-28;;2026-06-29;;Public;6;OUT Q1 2026;Nuclear;NUC
913806/4000;P1P1P1;Engineering;;2025-04-23;C11. Hubert, Jean-Charles;2026-10-21;;2026-12-21;;Public;6;ENG;Nuclear;NUC
913806/4100;P1P1P1;Production Ordered;;2024-07-31;C92. Daligault, Gildas;2026-10-21;;2026-12-21;;Public;6;OUT Q1 2026;Nuclear;NUC
913806/5010;P1P1P1;Purchase Confirmed;;2025-06-11;C92. Daligault, Gildas;2026-09-18;;2026-12-28;;Public;6;OUT Q1 2026;Nuclear;NUC
913806/6010;P1P1P1;Purchase Confirmed;;2025-06-11;C92. Daligault, Gildas;2026-09-18;;2026-12-28;;Public;6;OUT Q1 2026;Nuclear;NUC
913806/7010;P1P1P1;Purchase Confirmed;;2025-06-11;C92. Daligault, Gildas;2026-09-18;;2026-12-28;;Public;6;OUT Q1 2026;Nuclear;NUC
913806/8010;P1P1P1;Purchase Confirmed;;2025-06-11;C92. Daligault, Gildas;2026-09-18;;2026-12-28;;Public;6;OUT Q1 2026;Nuclear;NUC
913811/1000;P1P1P1;Engineering;;2025-04-23;C11. Hubert, Jean-Charles;2026-05-27;;2026-07-27;;Public;6;ENG;Nuclear;NUC
913811/1100;P1P1P1;Production Planned;;2024-07-31;C11. Hubert, Jean-Charles;2026-05-27;;2026-07-27;;Public;6;OUT Q1 2026;Nuclear;NUC
913811/2000;P1P1P1;Engineering;;2025-04-23;C11. Hubert, Jean-Charles;2026-05-27;;2026-07-27;;Public;6;ENG;Nuclear;NUC
913811/2100;P1P1P1;Production Planned;;2024-07-31;C11. Hubert, Jean-Charles;2026-05-27;;2026-07-27;;Public;6;OUT Q1 2026;Nuclear;NUC
913811/5000;P1P1P1;Purchase Requisition;;2025-05-19;C92. Daligault, Gildas;2026-05-27;;2026-07-27;;Public;6;OUT Q1 2026;Nuclear;NUC
913811/6000;P1P1P1;Purchase Requisition;;2025-05-19;C92. Daligault, Gildas;2026-05-27;;2026-07-27;;Public;6;OUT Q1 2026;Nuclear;NUC
913811/7000;P1P1ZZ;Engineering;ENGR;;C92. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913811/8000;P1P1ZZ;Engineering;ENGR;;C92. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913811/9000;P1P1P1;Engineering;EOUT;;SUP. Superstrangers;2026-05-27;;2026-07-27;;Public;6;ENG;Nuclear;NUC
913811/10000;P1P1P1;Engineering;EOUT;;SUP. Superstrangers;2026-05-27;;2026-07-27;;Public;6;ENG;Nuclear;NUC
913813/1000;P1P1ZZ;Booking;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;PDRN
913817/1000;P1P1ZZ;Booking;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;PDRN
913817/2000;P1P1CC;Booking;;2024-03-25;C92. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;PDRN
913824/1000;P1P1P1;Engineering;;2025-05-27;C11. Hubert, Jean-Charles;2026-07-06;;2026-09-07;;Public;6;ENG;Nuclear;NUC
913824/1100;P1P1P1;Production Planned;;2024-07-31;C92. Daligault, Gildas;2026-05-13;;2026-07-13;;Public;6;OUT Q1 2026;Nuclear;NUC
913824/2000;P1P1P1;Engineering;;2025-06-17;C11. Hubert, Jean-Charles;2026-07-03;;2026-09-03;;Public;6;ENG;Nuclear;NUC
913824/2100;P1P1P1;Engineering;ENGR;;C92. Daligault, Gildas;2026-07-03;;2026-09-03;;Public;6;ENG;Nuclear;NUC
913824/2500;P1P1ZZ;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913824/3000;P1P1SP;Engineering;EOUT;;C11. Hubert, Jean-Charles;2026-07-03;;2026-09-03;;Public;6;ENG;Nuclear;NUC
913824/3100;P1P1P1;Engineering;;2024-07-31;C92. Daligault, Gildas;2026-07-03;;2026-09-03;;Public;6;ENG;Nuclear;NUC
913824/3500;P1P1ZZ;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913824/4000;P1P1P1;Engineering;EOUT;;C11. Hubert, Jean-Charles;2026-07-03;;2026-09-03;;Public;6;ENG;Nuclear;NUC
913824/4100;P1P1P1;Engineering;ENGR;;C92. Daligault, Gildas;2026-07-03;;2026-09-03;;Public;6;ENG;Nuclear;NUC
913824/4500;P1P1ZZ;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913824/5000;P1P1SP;Engineering;EOUT;;C11. Hubert, Jean-Charles;2026-07-03;;2026-09-03;;Public;6;ENG;Nuclear;NUC
913824/5100;P1P1P1;Engineering;ENGR;;C92. Daligault, Gildas;2026-07-03;;2026-09-03;;Public;6;ENG;Nuclear;NUC
913824/5500;P1P1ZZ;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913824/6000;P1P1SP;Engineering;EOUT;;C11. Hubert, Jean-Charles;2026-07-03;;2026-09-03;;Public;6;ENG;Nuclear;NUC
913824/6500;P1P1ZZ;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913824/7000;P1P1SP;Engineering;EOUT;;C11. Hubert, Jean-Charles;2026-07-03;;2026-09-03;;Public;6;ENG;Nuclear;NUC
913824/7500;P1P1ZZ;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913824/8000;P1P1SP;Engineering;EOUT;;C11. Hubert, Jean-Charles;2026-07-03;;2026-09-03;;Public;6;ENG;Nuclear;NUC
913824/8500;P1P1ZZ;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913824/9000;P1P1SP;Engineering;EOUT;;C11. Hubert, Jean-Charles;2026-07-03;;2026-09-03;;Public;6;ENG;Nuclear;NUC
913824/9500;P1P1ZZ;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913824/10000;P1P1SP;Engineering;EOUT;;C11. Hubert, Jean-Charles;2026-09-08;;2026-11-09;;Public;6;ENG;Nuclear;NUC
913824/10100;P1P1P1;Production Planned;;2024-09-18;C92. Daligault, Gildas;2026-09-08;;2026-11-09;;Public;6;OUT Q1 2026;Nuclear;NUC
913824/11000;P1P1SP;Engineering;EOUT;;C11. Hubert, Jean-Charles;2026-09-08;;2026-11-09;;Public;6;ENG;Nuclear;NUC
913824/11100;P1P1P1;Production Planned;;2024-09-13;C92. Daligault, Gildas;2026-09-08;;2026-11-09;;Public;6;OUT Q1 2026;Nuclear;NUC
913824/11500;P1P1ZZ;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913824/12000;P1P1P1;Engineering;;2025-06-18;C11. Hubert, Jean-Charles;2026-05-20;;2026-07-20;;Public;6;ENG;Nuclear;NUC
913824/12300;P1P1P1;Engineering;ENGR;;C08. Machining;;;;;Public;6;ENG;Nuclear;NUC
913824/12310;P1P1P1;Engineering;ENGR;;SUP. Superstrangers;;;;;Public;6;ENG;Nuclear;NUC
913824/12320;P1P1P1;Engineering;ENGR;;SUP. Superstrangers;;;;;Public;6;ENG;Nuclear;NUC
913824/12330;P1P1P1;Engineering;ENGR;;SUP. Superstrangers;;;;;Public;6;ENG;Nuclear;NUC
913824/12340;P1P1P1;Engineering;ENGR;;SUP. Superstrangers;;;;;Public;6;ENG;Nuclear;NUC
913824/12500;P1P1ZZ;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913824/13000;P1P1P1;Engineering;;2025-06-18;C11. Hubert, Jean-Charles;2026-05-20;;2026-07-20;;Public;6;ENG;Nuclear;NUC
913824/13300;P1P1P1;Engineering;ENGR;;C08. Machining;;;;;Public;6;ENG;Nuclear;NUC
913824/13310;P1P1P1;Engineering;ENGR;;SUP. Superstrangers;;;;;Public;6;ENG;Nuclear;NUC
913824/13320;P1P1P1;Engineering;ENGR;;SUP. Superstrangers;;;;;Public;6;ENG;Nuclear;NUC
913824/13330;P1P1P1;Engineering;ENGR;;SUP. Superstrangers;;;;;Public;6;ENG;Nuclear;NUC
913824/13340;P1P1P1;Engineering;ENGR;;SUP. Superstrangers;;;;;Public;6;ENG;Nuclear;NUC
913824/13500;P1P1ZZ;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913824/14000;P1P1P1;Engineering;;2025-06-18;C11. Hubert, Jean-Charles;2026-05-20;;2026-07-20;;Public;6;ENG;Nuclear;NUC
913824/14100;P1P1P1;Production Ordered;;2024-11-06;C92. Daligault, Gildas;2026-02-20;;2026-04-20;;Public;6;OUT Q1 2026;Nuclear;NUC
913824/14300;P1P1P1;Engineering;ENGR;;C08. Machining;;;;;Public;6;ENG;Nuclear;NUC
913824/14310;P1P1P1;Engineering;ENGR;;SUP. Superstrangers;;;;;Public;6;ENG;Nuclear;NUC
913824/14320;P1P1P1;Engineering;ENGR;;SUP. Superstrangers;;;;;Public;6;ENG;Nuclear;NUC
913824/14330;P1P1P1;Engineering;ENGR;;SUP. Superstrangers;;;;;Public;6;ENG;Nuclear;NUC
913824/14340;P1P1P1;Engineering;ENGR;;SUP. Superstrangers;;;;;Public;6;ENG;Nuclear;NUC
913824/14500;P1P1ZZ;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913824/15000;P1P1P1;Engineering;EOUT;;C11. Hubert, Jean-Charles;2026-07-09;;2026-09-09;;Public;6;ENG;Nuclear;NUC
913824/15100;P1P1P1;Production Ordered;;2025-03-17;C92. Daligault, Gildas;2026-03-02;;2026-04-28;;Public;6;OUT Q1 2026;Nuclear;NUC
913824/15300;P1P1P1;Engineering;ENGR;;C08. Machining;;;;;Public;6;ENG;Nuclear;NUC
913824/15310;P1P1P1;Engineering;ENGR;;SUP. Superstrangers;;;;;Public;6;ENG;Nuclear;NUC
913824/15320;P1P1P1;Engineering;ENGR;;SUP. Superstrangers;;;;;Public;6;ENG;Nuclear;NUC
