CODE;MATSTA;STAGE;ENGBLK;ENGREL;MRPCTRL;SMAD;SMADPER;PMAD;PMADPER;CUSTCLASS;LAG;FWSHIP;VS;COALESCE(D.YOURREF,'')
913787/3310;P1P1P1;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913787/3320;P1P1P1;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913787/3330;P1P1P1;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913787/3340;P1P1P1;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913787/4000;P1P1P1;Production Planned;;2025-05-27;C11. Hubert, Jean-Charles;2026-12-02;;2027-01-04;;Public;6;OUT Q2 2026;Nuclear;NUC
913787/4100;P1P1P1;Production Released;;2024-07-31;C92. Daligault, Gildas;2026-12-02;;2027-01-04;;Public;6;OUT Q2 2026;Nuclear;NUC
913787/5000;P1P1P1;Purchase Ordered;;2025-05-27;C11. Hubert, Jean-Charles;2026-12-02;;2027-01-04;;Public;6;OUT Q2 2026;Nuclear;NUC
913787/5100;P1P1P1;Production Released;;2024-07-31;C92. Daligault, Gildas;2026-12-02;;2027-01-04;;Public;6;OUT Q2 2026;Nuclear;NUC
913787/6000;P1P1P1;Purchase Confirmed;;2025-05-27;C11. Hubert, Jean-Charles;2026-05-21;;2026-07-21;;Public;6;OUT Q2 2026;Nuclear;NUC
913787/6100;P1P1P1;Production Released;;2024-07-31;C92. Daligault, Gildas;2026-05-21;;2026-07-21;;Public;6;OUT Q2 2026;Nuclear;NUC
913787/8000;P1P1P1;Purchase Confirmed;;2025-04-23;C11. Hubert, Jean-Charles;2026-07-15;;2026-09-15;;Public;6;OUT Q2 2026;Nuclear;NUC
913787/8100;P1P1P1;Production Released;;2024-07-31;C92. Daligault, Gildas;2026-07-15;;2026-09-15;;Public;6;OUT Q2 2026;Nuclear;NUC
913787/9000;P1P1P1;Purchase Confirmed;;2025-04-23;C11. Hubert, Jean-Charles;2026-07-27;;2026-07-27;;Public;6;OUT Q2 2026;Nuclear;NUC
913787/9100;P1P1P1;Production Released;;2024-07-31;C92. Daligault, Gildas;2026-05-05;;2026-07-06;;Public;6;OUT Q2 2026;Nuclear;NUC
913787/10000;P1P1P1;Engineering;EOUT;;C11. Hubert, Jean-Charles;2026-10-07;;2026-12-07;;Public;6;ENG;Nuclear;NUC
913787/10100;P1P1P1;Production Released;;2024-07-31;C92. Daligault, Gildas;2026-10-07;;2026-12-07;;Public;6;OUT Q2 2026;Nuclear;NUC
913787/11000;P1P1P1;Purchase Confirmed;;2025-04-23;C11. Hubert, Jean-Charles;2026-05-13;;2026-07-13;;Public;6;OUT Q2 2026;Nuclear;NUC
913787/11100;P1P1P1;Customer Stock;;2024-07-31;C92. Daligault, Gildas;2026-06-18;;2026-08-18;;Public;6;OUT Q2 2026;Nuclear;NUC
913787/12000;P1P1P1;Engineering;;2025-06-18;C11. Hubert, Jean-Charles;2026-08-14;;2026-10-14;;Public;6;ENG;Nuclear;NUC
913787/12100;P1P1P1;Production Ordered;;2024-07-31;C92. Daligault, Gildas;2026-08-14;;2026-10-14;;Public;6;OUT Q2 2026;Nuclear;NUC
913787/12300;P1P1P1;Engineering;ENGR;;C28. Machining;;;;;Public;6;ENG;Nuclear;NUC
913787/12310;P1P1P1;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913787/12320;P1P1P1;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913787/12330;P1P1P1;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913787/12340;P1P1P1;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913787/12500;P1P1ZZ;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913787/13000;P1P1P1;Engineering;;2025-04-10;C11. Hubert, Jean-Charles;2026-10-30;;2026-12-30;;Public;6;ENG;Nuclear;NUC
913787/13100;P1P1P1;Production Ordered;;2024-07-31;C92. Daligault, Gildas;2026-06-11;;2026-08-17;;Public;6;OUT Q2 2026;Nuclear;NUC
913787/13300;P1P1P1;Engineering;ENGR;;C28. Machining;;;;;Public;6;ENG;Nuclear;NUC
913787/13310;P1P1P1;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913787/13320;P1P1P1;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913787/13330;P1P1P1;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913787/13340;P1P1P1;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913787/13500;P1P1ZZ;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913787/14000;P1P1SP;Engineering;;2026-02-19;C11. Hubert, Jean-Charles;2026-10-15;;2026-12-15;;Public;6;> Q2 2026;Nuclear;NUC
913787/14300;P1P1P1;Engineering;ENGR;;C35. Daligault, Gildas;2026-06-11;;2026-08-17;;Public;6;> Q2 2026;Nuclear;NUC
913787/15000;P1P1SP;Engineering;;2026-02-19;C11. Hubert, Jean-Charles;2026-10-15;;2026-12-15;;Public;6;> Q2 2026;Nuclear;NUC
913787/15300;P1P1P1;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;> Q2 2026;Nuclear;NUC
913787/16000;P1P1SP;Engineering;;2026-02-19;C11. Hubert, Jean-Charles;2026-10-15;;2026-12-15;;Public;6;> Q2 2026;Nuclear;NUC
913787/16300;P1P1P1;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;> Q2 2026;Nuclear;NUC
913787/17000;P1P1SP;Engineering;;2026-02-19;C11. Hubert, Jean-Charles;2026-10-15;;2026-12-15;;Public;6;> Q2 2026;Nuclear;NUC
913787/17300;P1P1P1;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;> Q2 2026;Nuclear;NUC
913787/18000;P1P1SP;Engineering;;2026-02-19;C11. Hubert, Jean-Charles;2026-10-15;;2026-12-15;;Public;6;> Q2 2026;Nuclear;NUC
913787/18300;P1P1P1;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;> Q2 2026;Nuclear;NUC
913787/19000;P1P1SP;Engineering;;2026-02-19;C11. Hubert, Jean-Charles;2026-10-15;;2026-12-15;;Public;6;> Q2 2026;Nuclear;NUC
913787/19300;P1P1P1;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;> Q2 2026;Nuclear;NUC
913787/23000;P1P1P1;Engineering;EOUT;;C35. Daligault, Gildas;2026-04-28;;2026-06-29;;Public;6;ENG;Nuclear;NUC
913787/24000;P1P1SP;Engineering;EOUT;;C11. Hubert, Jean-Charles;2026-08-28;;2026-10-28;;Public;6;ENG;Nuclear;NUC
913787/24500;P1P1ZZ;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913787/25000;P1P1P1;Charges;;;C35. Daligault, Gildas;;;;;Public;6;CHARGES;Nuclear;NUC
913787/32000;P1P1P1;Available in Stock;;2024-10-29;C35. Daligault, Gildas;2026-07-31;;2026-12-02;;Public;6;OUT Q2 2026;Nuclear;NUC
913787/32010;P1P1P1;Purchase Requisition;;2024-10-29;C35. Daligault, Gildas;2026-07-31;;2026-12-02;;Public;6;OUT Q2 2026;Nuclear;NUC
913787/32020;P1P1P1;Purchase Confirmed;;2024-10-29;C35. Daligault, Gildas;2026-07-31;;2026-12-02;;Public;6;OUT Q2 2026;Nuclear;NUC
913787/32030;P1P1P1;Purchase Requisition;;2024-11-08;C35. Daligault, Gildas;2026-07-31;;2026-12-02;;Public;6;OUT Q2 2026;Nuclear;NUC
913787/32040;P1P1P1;Purchase Requisition;;2024-11-08;C35. Daligault, Gildas;2026-07-31;;2026-12-02;;Public;6;OUT Q2 2026;Nuclear;NUC
913787/33000;P1P1P1;Purchase Requisition;;;C35. Daligault, Gildas;2026-07-31;;2026-12-02;;Public;6;OUT Q2 2026;Nuclear;NUC
913787/33010;P1P1P1;Purchase Requisition;;;C35. Daligault, Gildas;2026-07-31;;2026-12-02;;Public;6;OUT Q2 2026;Nuclear;NUC
913787/33020;P1P1P1;Purchase Ordered;;2025-09-09;C35. Daligault, Gildas;2026-07-31;;2026-12-02;;Public;6;OUT Q2 2026;Nuclear;NUC
913787/34000;P1P1ZZ;Engineering;ENGR;;C08. Machining;2026-07-31;;2026-12-02;;Public;6;ENG;Nuclear;NUC
913787/35000;P1P1ZZ;Engineering;ENGR;;C08. Machining;2026-07-31;;2026-12-02;;Public;6;ENG;Nuclear;NUC
913787/36000;P1P1ZZ;Engineering;ENGR;;C08. Machining;2026-07-31;;2026-12-02;;Public;6;ENG;Nuclear;NUC
913787/37000;P1P1P1;Purchase Requisition;;2025-08-28;C35. Daligault, Gildas;2026-07-31;;2026-12-02;;Public;6;OUT Q2 2026;Nuclear;NUC
913787/38000;P1P1P1;Purchase Requisition;;2025-08-28;C35. Daligault, Gildas;2026-07-31;;2026-12-02;;Public;6;OUT Q2 2026;Nuclear;NUC
913787/39000;P1P1P1;Production Released;;2026-03-05;C09. Machining;2026-07-31;;2026-12-02;;Public;6;OUT Q2 2026;Nuclear;NUC
913789/1000;P1P1SP;Purchase Ordered;;2025-04-23;C11. Hubert, Jean-Charles;2026-10-12;;2026-12-07;;Public;6;OUT Q2 2026;Nuclear;NUC
913789/1100;P1P1P1;Production Ordered;;2024-07-31;C92. Daligault, Gildas;2026-10-12;;2026-12-07;;Public;6;OUT Q2 2026;Nuclear;NUC
913789/1500;P1P1P1;Available in Stock;;2026-03-24;C08. Machining;2026-04-21;;2026-05-05;;Public;6;26W21;Nuclear;NUC
913789/2000;P1P1SP;Purchase Ordered;;2025-04-23;C11. Hubert, Jean-Charles;2026-10-07;;2026-12-07;;Public;6;OUT Q2 2026;Nuclear;NUC
913789/2100;P1P1P1;Production Ordered;;2024-07-31;C92. Daligault, Gildas;2026-10-07;;2026-12-07;;Public;6;OUT Q2 2026;Nuclear;NUC
913789/2500;P1P1P1;Available in Stock;;2026-03-24;C08. Machining;2026-04-21;;2026-05-05;;Public;6;26W21;Nuclear;NUC
913800/2000;P1P1P1;Purchase Confirmed;;2025-04-23;C11. Hubert, Jean-Charles;2026-07-02;;2026-09-02;;Public;6;OUT Q2 2026;Nuclear;NUC
913800/2300;P1P1P1;Engineering;ENGR;;C28. Machining;;;;;Public;6;ENG;Nuclear;NUC
913800/2301;P1P1P1;Engineering;ENGR;;C28. Machining;;;;;Public;6;ENG;Nuclear;NUC
913800/2310;P1P1P1;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913800/2320;P1P1P1;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913800/2330;P1P1P1;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913800/2340;P1P1P1;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913800/3000;P1P1SP;Purchase Confirmed;;2025-12-12;C11. Hubert, Jean-Charles;2026-09-18;;2026-11-18;;Public;6;OUT Q2 2026;Nuclear;NUC
913800/4000;P1P1SP;Purchase Ordered;;2025-12-12;C11. Hubert, Jean-Charles;2026-09-18;;2026-11-18;;Public;6;OUT Q2 2026;Nuclear;NUC
913800/5000;P1P1SP;Purchase Confirmed;;2025-12-12;C11. Hubert, Jean-Charles;2026-11-12;;2027-01-12;;Public;6;OUT Q2 2026;Nuclear;NUC
913800/6000;P1P1SP;Purchase Confirmed;;2025-12-12;C11. Hubert, Jean-Charles;2026-08-04;;2026-10-12;;Public;6;OUT Q2 2026;Nuclear;NUC
913800/7000;P1P1P1;Purchase Confirmed;;2025-12-12;C11. Hubert, Jean-Charles;2026-08-27;;2026-10-27;;Public;6;OUT Q2 2026;Nuclear;NUC
913800/8000;P1P1P1;Purchase Confirmed;;2025-12-12;C11. Hubert, Jean-Charles;2026-08-27;;2026-10-27;;Public;6;OUT Q2 2026;Nuclear;NUC
913800/9010;P1P1P1;Purchase Confirmed;;2025-06-11;C92. Daligault, Gildas;2026-06-02;;2026-08-17;;Public;6;OUT Q2 2026;Nuclear;NUC
913800/10010;P1P1P1;Purchase Confirmed;;2025-06-11;C92. Daligault, Gildas;2026-06-02;;2026-08-17;;Public;6;OUT Q2 2026;Nuclear;NUC
913800/11010;P1P1P1;Purchase Confirmed;;2025-06-11;C92. Daligault, Gildas;2026-06-02;;2026-08-17;;Public;6;OUT Q2 2026;Nuclear;NUC
913800/12010;P1P1P1;Purchase Confirmed;;2025-06-11;C92. Daligault, Gildas;2026-06-02;;2026-08-17;;Public;6;OUT Q2 2026;Nuclear;NUC
913806/1000;P1P1P1;Engineering;;2025-04-23;C11. Hubert, Jean-Charles;2026-09-18;;2026-11-18;;Public;6;ENG;Nuclear;NUC
913806/1100;P1P1P1;Production Ordered;;2024-07-31;C92. Daligault, Gildas;2026-09-18;;2026-11-18;;Public;6;OUT Q2 2026;Nuclear;NUC
913806/1500;P1P1P1;Production Released;;;C08. Machining;2026-04-21;;2026-05-05;;Public;6;OUT Q2 2026;Nuclear;NUC
913806/2000;P1P1P1;Engineering;;2025-04-23;C11. Hubert, Jean-Charles;2026-10-26;;2026-12-28;;Public;6;ENG;Nuclear;NUC
913806/2100;P1P1P1;Production Planned;;2024-07-31;C92. Daligault, Gildas;2026-10-26;;2026-12-28;;Public;6;OUT Q2 2026;Nuclear;NUC
913806/2500;P1P1P1;Production Released;;;C08. Machining;2026-04-21;;2026-05-05;;Public;6;OUT Q2 2026;Nuclear;NUC
913806/3000;P1P1P1;Engineering;;2025-04-23;C11. Hubert, Jean-Charles;2026-11-23;;2027-01-08;;Public;6;ENG;Nuclear;NUC
913806/3100;P1P1P1;Production Planned;;2024-07-31;C92. Daligault, Gildas;2026-11-23;;2027-01-08;;Public;6;OUT Q2 2026;Nuclear;NUC
913806/3500;P1P1P1;Production Released;;;C08. Machining;2026-04-21;;2026-05-05;;Public;6;OUT Q2 2026;Nuclear;NUC
913806/4000;P1P1P1;Engineering;;2025-04-23;C11. Hubert, Jean-Charles;2026-10-21;;2026-12-21;;Public;6;ENG;Nuclear;NUC
913806/4100;P1P1P1;Production Ordered;;2024-07-31;C92. Daligault, Gildas;2026-10-21;;2026-12-21;;Public;6;OUT Q2 2026;Nuclear;NUC
913806/5010;P1P1P1;Purchase Confirmed;;2025-06-11;C92. Daligault, Gildas;2026-09-18;;2026-12-28;;Public;6;OUT Q2 2026;Nuclear;NUC
913806/6010;P1P1P1;Purchase Confirmed;;2025-06-11;C92. Daligault, Gildas;2026-09-18;;2026-12-28;;Public;6;OUT Q2 2026;Nuclear;NUC
913806/7010;P1P1P1;Purchase Confirmed;;2025-06-11;C92. Daligault, Gildas;2026-09-18;;2026-12-28;;Public;6;OUT Q2 2026;Nuclear;NUC
913806/8010;P1P1P1;Purchase Confirmed;;2025-06-11;C92. Daligault, Gildas;2026-09-18;;2026-12-28;;Public;6;OUT Q2 2026;Nuclear;NUC
913811/1000;P1P1P1;Purchase Confirmed;;2025-04-23;C11. Hubert, Jean-Charles;2026-07-27;;2026-09-28;;Public;6;OUT Q2 2026;Nuclear;NUC
913811/1100;P1P1P1;Production Planned;;2024-07-31;C92. Daligault, Gildas;2026-07-27;;2026-09-28;;Public;6;OUT Q2 2026;Nuclear;NUC
913811/2000;P1P1P1;Purchase Confirmed;;2025-04-23;C11. Hubert, Jean-Charles;2026-08-03;;2026-10-12;;Public;6;OUT Q2 2026;Nuclear;NUC
913811/2100;P1P1P1;Production Planned;;2024-07-31;C92. Daligault, Gildas;2026-08-03;;2026-10-12;;Public;6;OUT Q2 2026;Nuclear;NUC
913811/5000;P1P1P1;Purchase Confirmed;;2025-05-19;C92. Daligault, Gildas;2026-05-27;;2026-07-27;;Public;6;OUT Q2 2026;Nuclear;NUC
913811/6000;P1P1P1;Purchase Confirmed;;2025-05-19;C92. Daligault, Gildas;2026-05-27;;2026-07-27;;Public;6;OUT Q2 2026;Nuclear;NUC
913811/9000;P1P1P1;Engineering;EOUT;;C35. Daligault, Gildas;2026-05-27;;2026-07-27;;Public;6;ENG;Nuclear;NUC
913811/10000;P1P1P1;Engineering;EOUT;;C35. Daligault, Gildas;2026-05-27;;2026-07-27;;Public;6;ENG;Nuclear;NUC
913813/1000;P1P1ZZ;Booking;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;PDRN
913817/1000;P1P1ZZ;Booking;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;PDRN
913817/2000;P1P1ZZ;Booking;;2024-03-25;C92. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;PDRN
913824/1000;P1P1P1;Purchase Confirmed;;2025-05-27;C11. Hubert, Jean-Charles;2026-08-31;;2026-11-02;;Public;6;OUT Q2 2026;Nuclear;NUC
913824/1100;P1P1P1;Production Planned;;2024-07-31;C92. Daligault, Gildas;2026-08-31;;2026-11-02;;Public;6;OUT Q2 2026;Nuclear;NUC
913824/2000;P1P1P1;Engineering;;2025-06-17;C11. Hubert, Jean-Charles;2026-10-19;;2026-12-18;;Public;6;ENG;Nuclear;NUC
913824/2100;P1P1P1;Engineering;ENGR;;C92. Daligault, Gildas;2026-10-19;;2026-12-18;;Public;6;ENG;Nuclear;NUC
913824/2500;P1P1ZZ;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913824/3000;P1P1SP;Engineering;EOUT;;C11. Hubert, Jean-Charles;2026-09-03;;2026-11-03;;Public;6;ENG;Nuclear;NUC
913824/3100;P1P1P1;Engineering;;2024-07-31;C92. Daligault, Gildas;2026-09-03;;2026-11-03;;Public;6;ENG;Nuclear;NUC
913824/3500;P1P1ZZ;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913824/4000;P1P1P1;Engineering;EOUT;;C11. Hubert, Jean-Charles;2026-10-19;;2026-12-18;;Public;6;ENG;Nuclear;NUC
913824/4100;P1P1P1;Engineering;ENGR;;C92. Daligault, Gildas;2026-10-19;;2026-12-18;;Public;6;ENG;Nuclear;NUC
913824/4500;P1P1ZZ;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913824/5000;P1P1SP;Engineering;EOUT;;C11. Hubert, Jean-Charles;2026-09-03;;2026-11-03;;Public;6;ENG;Nuclear;NUC
913824/5100;P1P1P1;Engineering;ENGR;;C92. Daligault, Gildas;2026-09-03;;2026-11-03;;Public;6;ENG;Nuclear;NUC
913824/5500;P1P1ZZ;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913824/6000;P1P1SP;Engineering;EOUT;;C11. Hubert, Jean-Charles;2026-09-03;;2026-11-03;;Public;6;ENG;Nuclear;NUC
913824/6500;P1P1ZZ;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913824/7000;P1P1SP;Engineering;EOUT;;C11. Hubert, Jean-Charles;2026-09-03;;2026-11-03;;Public;6;ENG;Nuclear;NUC
913824/7500;P1P1ZZ;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913824/8000;P1P1SP;Engineering;EOUT;;C11. Hubert, Jean-Charles;2026-09-30;;2026-11-30;;Public;6;ENG;Nuclear;NUC
913824/8500;P1P1ZZ;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913824/9000;P1P1SP;Engineering;EOUT;;C11. Hubert, Jean-Charles;2026-09-30;;2026-11-30;;Public;6;ENG;Nuclear;NUC
913824/9500;P1P1ZZ;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913824/10000;P1P1SP;Engineering;EOUT;;C11. Hubert, Jean-Charles;2027-02-04;;2027-04-05;;Public;6;ENG;Nuclear;NUC
913824/10100;P1P1P1;Production Planned;;2024-09-18;C92. Daligault, Gildas;2027-02-04;;2027-04-05;;Public;6;OUT Q2 2026;Nuclear;NUC
913824/11000;P1P1SP;Engineering;EOUT;;C11. Hubert, Jean-Charles;2026-09-08;;2026-11-09;;Public;6;ENG;Nuclear;NUC
913824/11100;P1P1P1;Production Planned;;2024-09-13;C92. Daligault, Gildas;2026-09-08;;2026-11-09;;Public;6;OUT Q2 2026;Nuclear;NUC
913824/11500;P1P1P1;Available in Stock;;2026-03-24;C08. Machining;2026-04-21;;2026-05-05;;Public;6;26W21;Nuclear;NUC
913824/12000;P1P1P1;Engineering;;2025-06-18;C11. Hubert, Jean-Charles;2026-08-26;;2026-10-26;;Public;6;ENG;Nuclear;NUC
913824/12300;P1P1P1;Engineering;ENGR;;C08. Machining;;;;;Public;6;ENG;Nuclear;NUC
913824/12310;P1P1P1;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913824/12320;P1P1P1;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913824/12330;P1P1P1;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913824/12340;P1P1P1;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913824/12500;P1P1ZZ;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913824/13000;P1P1P1;Engineering;;2025-06-18;C11. Hubert, Jean-Charles;2026-08-26;;2026-10-26;;Public;6;ENG;Nuclear;NUC
913824/13300;P1P1P1;Engineering;ENGR;;C08. Machining;;;;;Public;6;ENG;Nuclear;NUC
913824/13310;P1P1P1;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913824/13320;P1P1P1;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913824/13330;P1P1P1;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913824/13340;P1P1P1;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913824/13500;P1P1ZZ;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913824/14000;P1P1P1;Engineering;;2025-06-18;C11. Hubert, Jean-Charles;2026-08-26;;2026-10-26;;Public;6;ENG;Nuclear;NUC
913824/14100;P1P1P1;Booking;;2024-11-06;C92. Daligault, Gildas;2026-02-20;;2026-04-20;;Public;6;ENG;Nuclear;NUC
913824/14300;P1P1P1;Engineering;ENGR;;C08. Machining;;;;;Public;6;ENG;Nuclear;NUC
913824/14310;P1P1P1;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913824/14320;P1P1P1;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913824/14330;P1P1P1;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913824/14340;P1P1P1;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913824/14500;P1P1ZZ;Engineering;ENGR;;C35. Daligault, Gildas;;;;;Public;6;ENG;Nuclear;NUC
913824/15000;P1P1P1;Engineering;EOUT;;C11. Hubert, Jean-Charles;2026-07-09;;2026-09-09;;Public;6;ENG;Nuclear;NUC
